1.0283, 0.4592
0.8027, 0.6554
0.6741, 0.7252
0.6082, 0.7597
0.5545, 0.7829
0.5213, 0.7970
0.4971, 0.8084
0.4792, 0.8135
0.4542, 0.8264
0.4486, 0.8293
0.4361, 0.8309
0.4164, 0.8427
0.4202, 0.8411
0.3995, 0.8492
0.3937, 0.8493
0.3813, 0.8594
0.3741, 0.8627
0.3709, 0.8575
0.3553, 0.8688
0.3466, 0.8741
0.3421, 0.8744
0.3387, 0.8731
0.3318, 0.8784
0.3254, 0.8799
0.3137, 0.8831
0.3102, 0.8839
0.3142, 0.8826
0.3076, 0.8859
0.3018, 0.8889
0.3008, 0.8887
0.2881, 0.8927
0.2786, 0.8988
0.2790, 0.8978
0.2697, 0.9006
0.2713, 0.9011
0.2700, 0.9027
0.2672, 0.9039
0.2524, 0.9094
0.2552, 0.9068
0.2629, 0.9056
0.2539, 0.9075
0.2464, 0.9107
0.2444, 0.9116
0.2426, 0.9117
0.2382, 0.9131
0.2362, 0.9140
0.2331, 0.9145
0.2318, 0.9171
0.2330, 0.9174
0.2325, 0.9169
0.2243, 0.9196
0.2188, 0.9217
0.2241, 0.9174
0.2188, 0.9222
0.2200, 0.9184
0.2122, 0.9230
0.2125, 0.9240
0.2160, 0.9200
0.2016, 0.9267
0.2028, 0.9266
0.2066, 0.9262
0.2100, 0.9252
0.2036, 0.9249
0.2013, 0.9274
0.1990, 0.9295
0.1958, 0.9299
0.1918, 0.9312
0.1933, 0.9299
0.1914, 0.9320
0.1873, 0.9321
0.1916, 0.9325
0.1883, 0.9348
0.1862, 0.9320
0.1817, 0.9366
0.1817, 0.9338
0.1827, 0.9349
0.1828, 0.9341
0.1822, 0.9345
0.1795, 0.9343
0.1811, 0.9362
0.1815, 0.9360
0.1780, 0.9359
0.1705, 0.9373
0.1725, 0.9374
0.1716, 0.9394
0.1695, 0.9404
0.1670, 0.9403
0.1713, 0.9387
0.1646, 0.9425
0.1654, 0.9401
0.1691, 0.9391
0.1656, 0.9409
0.1680, 0.9400
0.1579, 0.9439
0.1580, 0.9451
0.1620, 0.9420
0.1617, 0.9422
0.1579, 0.9455
0.1572, 0.9451
0.1647, 0.9436
0.1570, 0.9450
0.1516, 0.9449
0.1508, 0.9450
0.1503, 0.9464
0.1603, 0.9462
0.1585, 0.9460
0.1540, 0.9471
0.1533, 0.9469
0.1548, 0.9453
0.1532, 0.9475
0.1416, 0.9494
0.1516, 0.9476
0.1480, 0.9477
0.1521, 0.9469
0.1481, 0.9471
0.1439, 0.9492
0.1391, 0.9517
0.1374, 0.9516
0.1445, 0.9497
0.1396, 0.9491
0.1447, 0.9498
0.1351, 0.9513
0.1422, 0.9514
0.1379, 0.9505
0.1416, 0.9500
0.1458, 0.9491
0.1388, 0.9515
0.1443, 0.9509
0.1356, 0.9530
0.1380, 0.9506
0.1404, 0.9514
0.1379, 0.9530
0.1340, 0.9521
0.1379, 0.9521
0.1351, 0.9513
0.1330, 0.9554
0.1413, 0.9499
0.1385, 0.9510
0.1368, 0.9532
0.1282, 0.9557
0.1351, 0.9539
0.1328, 0.9551
0.1358, 0.9525
0.1284, 0.9545
0.1334, 0.9559
0.1277, 0.9563
0.1261, 0.9564
0.1293, 0.9550
0.1316, 0.9525
0.1297, 0.9552
0.1302, 0.9552
0.1213, 0.9588
0.1197, 0.9586
0.1201, 0.9592
0.1273, 0.9548
0.1326, 0.9540
0.1249, 0.9562
0.1255, 0.9547
0.1218, 0.9583
0.1226, 0.9576
0.1236, 0.9560
0.1179, 0.9611
0.1193, 0.9595
0.1269, 0.9567
0.1256, 0.9540
0.1241, 0.9567
0.1223, 0.9577
0.1227, 0.9575
0.1236, 0.9586
0.1201, 0.9590
0.1167, 0.9575
0.1225, 0.9581
0.1207, 0.9582
0.1183, 0.9578
0.1206, 0.9567
0.1132, 0.9566
0.1140, 0.9603
0.1201, 0.9587
0.1113, 0.9613
0.1166, 0.9586
0.1212, 0.9588
0.1152, 0.9598
0.1127, 0.9615
0.1161, 0.9593
0.1135, 0.9599
0.1122, 0.9615
0.1144, 0.9600
0.1181, 0.9593
0.1119, 0.9609
0.1108, 0.9624
0.1098, 0.9619
0.1116, 0.9603
0.1116, 0.9607
0.1155, 0.9589
0.1091, 0.9624
0.1093, 0.9617
0.1016, 0.9645
0.1131, 0.9612
0.1127, 0.9601
0.1102, 0.9635
0.1124, 0.9622
0.1100, 0.9614
0.1097, 0.9630
0.1097, 0.9620
0.1107, 0.9609
0.1125, 0.9604
0.1063, 0.9640
0.1119, 0.9625
0.1088, 0.9621
0.1091, 0.9626
0.1140, 0.9614
0.1094, 0.9624
